#Count;Type;Country;Name
x3;PIRATE;angleterre;
x4;PIRATE;france;
x1;PIRATE;espagne;Flandres
x1;PIRATE;espagne;Olivares
x2;PIRATE;hollande;
x1;PIRATE;portugal;
x1;PIRATE;russie;
x1;PIRATE;suede;
x2;PIRATE;turquie;
x1;PIRATE;turquievenise;Ragusa
x1;PIRATE;venise;
x1;PIRATE;maroc;
x1;PIRATE;algerie;
x1;PIRATE;cyrenaique;
x1;PIRATE;chevaliers;
x1;PIRATE;tripoli;
x1;PIRATE;tunisie;
x1;PIRATE;danemark;
x16;PIRATE;pirates
#Count;Type;Country;Name;First index;Class;Class 2
x4;ARMY;angleterre;;1;angleterre;
x6;FLEET;angleterre;;1;;angleterre
x15;LDND;angleterre;;1;angleterre;angleterre
x5;LD;angleterre;;16;angleterre;
x4;ND;angleterre;;1;;transport
x10;LDENDE;angleterre;;1;angleterre;angleterre
x5;LD;angleterre;Sepoys;21;cipayes;
x3;LDE;angleterre;Sepoys;11;cipayes;
x3;ARMY;royalistes;;1;royalistes;
x1;FLEET;royalistes;;1;;royalistes
x5;LDND;royalistes;;1;royalistes;royalistes
x5;LD;royalistes;;6;royalistes;
x2;ND;royalistes;;1;;transport
x4;LDENDE;royalistes;;1;royalistes;royalistes
x6;ARMY;france;;1;france;
x5;FLEET;france;;1;;france
x15;LDND;france;;1;france;france
x5;LD;france;;16;france;
x4;ND;france;;1;;transport
x8;LDENDE;france;;1;france;france
x5;LD;france;Cipayes;21;cipayes;
x1;LD;france;Grands Lacs;26;alliesindiens;
x1;LD;france;Québec;27;alliesindiens;
x3;LDE;france;Cipayes;9;cipayes;
x4;LDE;france;Coureurs des bois;12;alliesindiens;
x8;ARMY;revolutionnaires;;1;revolutionnaires;
x5;ARMY;espagne;;1;espagne;
x4;FLEET;espagne;;1;;espagne
x3;LDND;espagne;;1;espagne;galere
x7;LDND;espagne;;4;espagne;espagne
x10;LD;espagne;;11;espagne;
x4;ND;espagne;;1;;transport
x10;LDENDE;espagne;;1;espagne;espagne
x4;ARMY;habsbourg;;1;habsbourg;
x1;FLEET;habsbourg;;1;;habsbourg
x2;LDND;habsbourg;;1;habsbourg;habsbourg
x6;LD;habsbourg;;3;habsbourg;
x2;ND;habsbourg;;1;;transport
x3;LDENDE;habsbourg;;1;habsbourg;habsbourg
x3;ARMY;hollande;;1;hollande;
x5;FLEET;hollande;;1;;hollande
x15;LDND;hollande;;1;hollande;hollande
x4;ND;hollande;;1;;transport
x4;LD;hollande;Indiërs;16;cipayes;
x8;LDENDE;hollande;;1;hollande;hollande
x2;LDE;hollande;Indiërs;9;cipayes;
x2;ARMY;pologne;;1;pologne;
x1;FLEET;pologne;;1;;pologne
x2;ARMY;lithuanie;;1;lithuanie;
x3;LDND;pologne;;1;pologne;pologne
x6;LD;pologne;;4;pologne;
x6;LD;lithuanie;;10;lithuanie;
x2;ND;pologne;;1;;transport
x3;LDENDE;pologne;;1;pologne;pologne
x1;ARMY;portugal;;1;portugal;
x1;FLEET;portugal;;1;;portugal
x7;LDND;portugal;;1;portugal;portugal
x3;LD;portugal;;8;portugal;
x4;ND;portugal;;1;;transport
x8;LDENDE;portugal;;1;portugal;portugal
x4;ARMY;prusse;;1;prusse;
x2;LDND;prusse;;1;prusse;prusse
x8;LD;prusse;;3;prusse;
x2;ND;prusse;;1;;transport
x3;LDENDE;prusse;;1;prusse;prusse
x6;ARMY;russie;;1;russie;
x3.1;FLEET;russie;;1;;russie
x10;LDND;russie;;1;russie;russie
x10;LD;russie;;11;russie;
x2;ND;russie;;1;;transport
x8;LDENDE;russie;;1;russie;russie
x4;LD;russie;Козаки;21;cosaquesdon;
x4;LDE;russie;Козаки;9;cosaquesdon;
x3;ARMY;suede;;1;suede;
x2;FLEET;suede;;1;;suede
x1;FLEET;suede;Transport;3;;suede
x1;ARMY;suede;Poniatowski;4;pologne;
x1;ARMY;suede;ROTW;5;;suede
x1;LD;suede;Poniatowski;16;pologne;
x3;LDND;suede;;1;suede;galere
x7;LDND;suede;;4;suede;suede
x5;LD;suede;;11;suede;
x2;ND;suede;;1;;transport
x6;LDENDE;suede;;1;suede;suede
x6;ARMY;turquie;;1;turquie;
x6;FLEET;turquie;;1;;turquie
x5;LDND;turquie;;1;turquie;galere
x5;LD;turquie;;6;turquie;
x5;LDND;timar;;11;timar;turquie
x5;LD;timar;;16;timar;
x4;ARMY;timar;;1;timar;
x4;ND;turquie;;1;;transport
x6;LDENDE;turquie;;1;turquie;turquie
x2;ARMY;venise;;1;venise;
x2;FLEET;venise;;1;;venise
x3;LDND;venise;;1;venise;galere
x3;LDND;venise;;4;venise;venise
x4;LD;venise;;7;venise;
x2;ND;venise;Galeazza;11;;galeasse
x2;ND;venise;;1;;transport
x4;LDENDE;venise;;1;venise;venise
x2;ARMY;mamelouks;;1;mamelouks;
x1;FLEET;mamelouks;;1;;mamelouks
x2;LDND;mamelouks;;1;mamelouks;mamelouks
x1;ND;mamelouks;;1;;transport
x2;LDENDE;mamelouks;;1;mamelouks;mamelouks
x2;LDND;aceh;;1;aceh;aceh
x2;LDENDE;aceh;;1;aceh;aceh
x1;ND;aceh;;1;;transport
x1;ARMY;algerie;;1;algerie;
x1;FLEET;algerie;;1;;algerie
x2;LDND;algerie;;1;algerie;galere
x1;LDND;algerie;;3;algerie;algerie
x1;ND;algerie;;1;;transport
x2;NDE;algerie;;1;algerie;algerie
x1;LD;alsace;;1;alsace;
x2;LD;arabie;;1;arabie;
x1;ARMY;astrakhan;;1;astrakhan;
x1;LD;astrakhan;;1;astrakhan;
x1;ARMY;baviere;;1;baviere;
x1;ARMY;baviere;Oberpfalz;2;baviere;
x3;LD;baviere;;1;baviere;
x1;ARMY;boheme;;1;boheme;
x2;LD;boheme;;1;boheme;
x1;ARMY;brunswick;;1;brunswick;
x1;LD;brunswick;;1;brunswick;
x2;LD;bourgogne;;1;bourgogne;
x1;ARMY;kazan;;1;kazan;
x1;LD;kazan;;1;kazan;
x1;LD;berg;;1;berg;
x1;LD;cologne;;1;cologne;
x1;LD;corse;;1;corse;
x1;ARMY;crimee;;1;crimee;
x4;LD;crimee;;1;crimee;
x2;LD;courlande;;1;courlande;
x1;LDND;cyrenaique;;1;cyrenaique;galere
x1;ND;cyrenaique;;1;;transport
x2;NDE;cyrenaique;;1;cyrenaique;cyrenaique
x2;ARMY;danemark;;1;danemark;
x1;FLEET;danemark;;1;;danemark
x4;LDND;danemark;;1;danemark;danemark
x1;ND;danemark;;1;;transport
x2;NDE;danemark;;1;danemark;danemark
x1;ARMY;cosaquesdon;;1;cosaquesdon;
x1;LD;cosaquesdon;;1;cosaquesdon;
x1;ARMY;teutoniques1;;1;teutoniques1;
x1;ARMY;teutoniques2;;2;teutoniques2;
x2;LD;teutoniques1;;1;teutoniques1;
