This is the list of counters for release 0.6

      4 LDS	Area control China +Activation 6
      2 LSS	Area control Guzarate
     14 LDS	Area control Mogolis Imp. +Lost Area
      1 LSS	Area control Persia
      7 LSS	Area control Bisinagar
      1 LDS	Army Durranis Imp. <Army I>
      1 LDS	Army Algeria <Army I>
      1 LDS	Army Anglia <Army I>
      1 LDS	Army Anglia <Army II>
      1 LDS	Army Anglia <Army III>
      1 LDS	Army Anglia <Army IV>
      1 LDS	Army Astracan <Army I>
      1 LDS	Army Azteca <Army I>
      1 LDS	Army Azteca <Army II>
      1 LDS	Army Bavaria <Army I>
      1 LDS	Army Bavaria <Oberpfalz>
      1 LDS	Army Belgica <Army I>
      1 LDS	Army Bohemia <Army I>
      1 LDS	Army Brunsvicum <Army I>
      1 LDS	Army China <Army I>
      1 LDS	Army China <Army II>
      1 LDS	Army Don Cassackia <Army I>
      1 LDS	Army Crimea <Army I>
      1 LDS	Army Peregrini <Army I>
      1 LDS	Army Peregrini <Army II>
      1 LDS	Army Syria <Army I>
      1 LDS	Army Dania <Army I>
      1 LDS	Army Dania <Army II>
      1 LDS	Army Scotia <Army I>
      1 LDS	Army Hispania <Army I>
      1 LDS	Army Hispania <Army II>
      1 LDS	Army Hispania <Army III>
      1 LDS	Army Hispania <Army IV>
      1 LDS	Army Hispania <Army V>
      1 LDS	Army Finlandia <Army I>
      1 LDS	Army Francia <Army I>
      1 LDS	Army Francia <Army II>
      1 LDS	Army Francia <Army III>
      1 LDS	Army Francia <Army IV>
      1 LDS	Army Francia <Army V>
      1 LDS	Army Francia <Army VI>
      1 LDS	Army Habsburgum <Army I>
      1 LDS	Army Habsburgum <Army II>
      1 LDS	Army Habsburgum <Army III>
      1 LDS	Army Habsburgum <Army IV>
      1 LDS	Army Hanovere <Army I>
      1 LDS	Army Hassia <Army I>
      1 LDS	Army Hollandia <Army I>
      1 LDS	Army Hollandia <Army II>
      1 LDS	Army Hollandia <Army III>
      1 LDS	Army Hungaria <Army I>
      1 LDS	Army Hungaria <Army II>
      1 LDS	Army Huguenotis <Army I>
      1 LDS	Army Huguenotis <Army II>
      1 LDS	Army Hyderabada <Army I>
      1 LDS	Army Inca <Army I>
      1 LDS	Army Inca <Army II>
      1 LDS	Army Hibernia <Army I>
      1 LDS	Army Iaponia <Army I>
      1 LDS	Army Iaponia <Army II>
      1 LDS	Army Iaponia <Army III>
      1 LDS	Army Cazan <Army I>
      1 LDS	Army Livonia <Army I>
      1 LDS	Army Lituania <Army I>
      1 LDS	Army Lituania <Army II>
      1 LDS	Army Ægyptus <Army I>
      1 LDS	Army Ægyptus <Army II>
      1 LDS	Army Mauretanium <Army I>
