#Type;Country;Control;Ownership
OWNERCONTROL;aceh;0;1
OWNERCONTROL;aden;0;1
OWNERCONTROL;oman;0;1
OWNERCONTROL;vijayanagar;0;1
OWNERCONTROL;chine;0;1
OWNERCONTROL;afghans;0;1
OWNERCONTROL;gujarat;0;1
OWNERCONTROL;hyderabad;0;1
OWNERCONTROL;japon;0;1
OWNERCONTROL;iroquois;0;1
OWNERCONTROL;mogol;0;1
OWNERCONTROL;mysore;0;1
OWNERCONTROL;siberie;0;1
OWNERCONTROL;soudan;0;1
OWNERCONTROL;usa;0;1
OWNERCONTROL;azteque;1;1
OWNERCONTROL;natives;1;0
OWNERCONTROL;bourgogne;1;1
OWNERCONTROL;corse;1;1
OWNERCONTROL;cyrenaique;1;1
OWNERCONTROL;inca;1;1
OWNERCONTROL;liege;1;1
OWNERCONTROL;inca;1;1
OWNERCONTROL;lucca;1;1
OWNERCONTROL;mayence;1;1
OWNERCONTROL;moldavie;1;1
OWNERCONTROL;montferrat;1;1
OWNERCONTROL;modene;1;1
OWNERCONTROL;parme;1;1
OWNERCONTROL;treves;1;1
OWNERCONTROL;tripoli;1;1
OWNERCONTROL;tunisie;1;1
OWNERCONTROL;thuringe;1;1
OWNERCONTROL;valachie;1;1
#Type;Country;Religion;Active;Control;Ownership
VIRTUAL;bretagne;catholique;3;2;5
VIRTUAL;catalogne;catholique;3;2;4
