#Type;Country;Religion;Active;Control;Ownership
##Active field;0, do not use; 1, 1A 2LD, Diplo;2, Diplo only; 3, both
VIRTUAL;belgique;catholique;3;2;8
VIRTUAL;bretagne;catholique;0;0;0
VIRTUAL;catalogne;catholique;0;0;0
VIRTUAL;eastprussia;protestant;3;1;1
VIRTUAL;finlande;protestant;3;2;2
VIRTUAL;irlande;catholique;3;3;1
VIRTUAL;lithuanie;catholique;2;1;1
VIRTUAL;liflandie;protestant;3;2;1
VIRTUAL;norvege;protestant;3;2;1
VIRTUAL;pommeranie;protestant;3;2;5
VIRTUAL;Vhollande;protestant;2;0;0
VIRTUAL;Vukraine;orthodoxe;2;0;0
